sex herdyear abattoir classifier herd age ageQuadrat yearsaison breedcomb prodsystem calfcull controlcull ageVK slaughterCategory branding cccn ccco ccan ccas ccao ccvn ccvo cwcn cwco cwan cwas cwao cwvn cwvo cfcn cfco cfan cfas cfao cfvn cfvo cacn caco caan caas caao cavn cavo Effekt_HeterosisSumHet Effekt_RekombinationSumRec
3 1 3 11 2 332 110224 3 7 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.06 0 0 0 0 0 0 3 0 0 0 0 0 0 3.32 0 0 0 0 6 4
1 1 3 11 2 307 94249 3 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.62 0 0 0 0 0 0 3 0 0 0 0 0 0 3.07 0 0 0 0 4 4
2 1 3 11 2 303 91809 3 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.30 0 0 0 0 0 0 3 0 0 0 0 0 0 3.03 0 0 0 0 4 5
2 1 3 11 2 321 103041 4 3 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.31 0 0 0 0 0 0 2 0 0 0 0 0 0 3.21 0 0 0 0 4 5
3 1 3 11 2 333 110889 4 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.15 0 0 0 0 0 0 3 0 0 0 0 0 0 3.33 0 0 0 0 4 4
3 2 1 12 3 178 31684 4 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.21 0 0 0 0 0 0 4 0 0 0 0 0 0 1.78 0 0 0 0 0 3 4
1 2 3 10 4 460 211600 3 10 1 0 0 0 MT conventional 0 0 0 0 4 0 0 0 0 0 0 2.84 0 0 0 0 0 0 3 0 0 0 0 0 0 4.60 0 0 5 5
1 3 2 3 5 122 14884 3 11 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 0.98 0 0 0 0 0 0 3 0 0 0 0 0 0 1.22 0 0 0 0 0 4 4
1 1 4 13 1 167 27889 1 12 1 0 0 0 KV conventional 0 6 0 0 0 0 0 0 1.35 0 0 0 0 0 0 2 0 0 0 0 0 0 1.67 0 0 0 0 0 2 3
3 4 3 14 6 704 495616 4 2 4 0 0 0 RG 3 0 0 0 7 0 0 0 0 0 0 3.06 0 0 0 0 0 0 3 0 0 0 0 0 0 7.04 0 0 0 4 4
3 4 3 14 6 704 495616 4 2 4 0 0 0 RG 3 0 0 0 7 0 0 0 0 0 0 2.90 0 0 0 0 0 0 3 0 0 0 0 0 0 7.04 0 0 0 4 4
1 3 5 2 6 431 185761 2 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.55 0 0 0 0 0 0 3 0 0 0 0 0 0 4.31 0 0 0 2 2
1 3 5 15 6 494 244036 1 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.84 0 0 0 0 0 0 2 0 0 0 0 0 0 4.94 0 0 0 2 2
1 3 5 7 6 516 266256 2 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.75 0 0 0 0 0 0 2 0 0 0 0 0 0 5.16 0 0 0 1 1
1 3 4 9 6 466 217156 1 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.52 0 0 0 0 0 0 3 0 0 0 0 0 0 4.66 0 0 0 3 3
1 3 4 9 6 485 235225 1 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.63 0 0 0 0 0 0 3 0 0 0 0 0 0 4.85 0 0 0 2 3
1 4 5 16 6 452 204304 4 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.74 0 0 0 0 0 0 3 0 0 0 0 0 0 4.52 0 0 0 2 2
1 4 5 10 6 427 182329 4 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.63 0 0 0 0 0 0 2 0 0 0 0 0 0 4.27 0 0 0 3 2
1 3 4 9 6 499 249001 1 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.64 0 0 0 0 0 0 3 0 0 0 0 0 0 4.99 0 0 0 1 1
1 4 5 10 6 364 132496 2 2 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.25 0 0 0 0 0 0 2 0 0 0 0 0 0 3.64 0 0 0 4 2
1 4 5 10 6 471 221841 2 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.47 0 0 0 0 0 0 3 0 0 0 0 0 0 4.71 0 0 0 2 2
1 4 5 10 6 476 226576 2 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.37 0 0 0 0 0 0 2 0 0 0 0 0 0 4.76 0 0 0 3 3
1 4 5 10 6 483 233289 2 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.38 0 0 0 0 0 0 2 0 0 0 0 0 0 4.83 0 0 0 2 2
